AMZN,GE,GOOG,JPM,LIN,LLY,MSFT,NEE,PLD,WMT,XOM
942195367468.4088,125542707322.54128,693568099699.3859,63005279329.65515,174985989581.00452,208987452150.06464,4823165920803.6455,46215622830.28609,,72832016386.19473,59166750382.83953
891487536143.1075,125913406717.90579,690076532345.7781,63236604652.14479,177938057990.4454,210783393006.58798,4746959679917.899,45916091043.42098,,71334786709.08473,61298303117.51538
895368700142.3663,126160546379.63167,703775565064.1794,63461852889.71926,175512061691.5134,209527969203.8726,4883669487844.584,45988397037.61727,,72026411803.0187,60410153133.74286
909347632534.5326,131350287428.61348,711970128554.1423,63181834924.34683,177111512982.4704,209981269743.2259,4952023462413.656,46006462409.42835,,72657218120.52388,61031858523.84908
899178680052.2402,129373240815.37653,692859860835.9454,63151395240.08424,175426143694.01953,207958693061.62912,4897063174562.5625,45988397037.61727,,72687599057.72794,60765397871.56455
884985944449.1835,124307049402.80908,682596464413.8062,62323479235.89126,172495541445.40976,204872531353.14868,4861962555251.524,46827597870.787415,,73516026093.0287,60297108490.71526
870650757019.7783,121217884409.03,680328791832.8455,61702558510.65254,173064528092.85773,208534108276.90155,4880435195781.566,47256235423.97322,,72642011055.49916,60395078105.879776
872174732254.2122,123936350007.44456,680297745356.0985,61410375523.51242,173204031461.17523,205761813352.55237,4861039109103.877,47256235423.97322,,73113221430.52315,60493047721.0443
897945212858.2689,123318531144.80275,696674453745.3253,62457408420.67797,179838106671.9305,208342312834.87958,4936782883400.382,47323378611.73915,,73698439745.79956,61554317638.64153
899036144578.3132,128137572798.42004,695922702415.238,62755701048.5453,179677119358.05875,208621324791.35617,4933087983536.665,47214919620.44471,,74435657583.79736,62248242649.58103
889524996654.0968,124059879449.41034,696860827404.2096,62347830983.30133,178732448218.98163,211680373979.5267,4937244978231.914,47152939239.109146,,74876449086.93684,62264566235.01147
881466556227.3508,124677758895.39789,691878223380.3271,64253230420.859795,180922281179.32513,214713148434.3761,4998209153073.552,47522200067.650566,,75993677586.3258,63440149426.47645
